Movie,Year,Genre,Actors,Director(s),Producer(s),Writer(s),Musician(s),Poet(s),Singer(s),Cinematogrpahy,Others
Chand Suraj, 1970-12-25, Romantic & musical film,"Rozina, Waheed Murad, Shabana, Nadeem, Sabira Sultana, Nanha, Hanif, Ghulam Farid Sabri, Maqbool Sabri Qawwals",Shore Lakhnawi,Ghulam Nasir Khan,?,Nashad,Shore Lakhnavi,"Noorjahan, Mehdi Hassan, Masood Rana & Ghulam Farid Sabri, Maqbool Sabri Qawwals",Jan Mohammad,Background music: Deebo
Adorsho Chhapakhana, un-known, Family drama,?,?,?,?,?,?,?,?,
Akee Onge Ato Rup, un-known, Family drama,?,?,?,?,?,?,?,?,
Amir Soudagar O Velua Sundori, un-known, Family drama,?,?,?,?,?,?,?,?,
Anka Banka, un-known, Family drama,?,?,?,?,?,?,?,?,
Apon Por, un-known, Family drama,?,?,?,?,?,?,?,?,
Bablu, un-known, Family drama,?,?,?,?,?,?,?,?,
Bindu Theke Britto, un-known, Family drama,?,?,?,?,?,?,?,?,
Binimoy, un-known, Family drama,?,?,?,?,?,?,?,?,
Boro Bou, un-known, Family drama,?,?,?,?,?,?,?,?,
Chhodmobeshi, un-known, Family drama,?,?,?,?,?,?,?,?,
Dheu Er Por Dheu, un-known, Family drama,?,?,?,?,?,?,?,?,
Dip Nebhe Nai, un-known, Family drama,?,?,?,?,?,?,?,?,
Dorpochurno, un-known, Family drama,?,?,?,?,?,?,?,?,
Ghurni Jhor, un-known, Family drama,?,?,?,?,?,?,?,?,
Je Agune Puri, un-known, Family drama,?,?,?,?,?,?,?,?,
Jibon Theke Neya, un-known, Family drama,?,?,?,?,?,?,?,?,
Jog Biyog, un-known, Family drama,?,?,?,?,?,?,?,?,
Ka Kha Ga Gha Umo, un-known, Family drama,?,?,?,?,?,?,?,?,
Kanch Kata Heere, un-known, Family drama,?,?,?,?,?,?,?,?,
Kothai Jeno Dekhechhi, un-known, Family drama,?,?,?,?,?,?,?,?,
Koto Je Minoti, un-known, Family drama,?,?,?,?,?,?,?,?,
Manush Omanush, un-known, Family drama,?,?,?,?,?,?,?,?,
Mishor Kumari, un-known, Family drama,?,?,?,?,?,?,?,?,
Modhumilon, un-known, Family drama,?,?,?,?,?,?,?,?,
Monimala, un-known, Family drama,?,?,?,?,?,?,?,?,
Nayika, un-known, Family drama,?,?,?,?,?,?,?,?,
Notun Probhat, un-known, Family drama,?,?,?,?,?,?,?,?,
Odhikar, un-known, Family drama,?,?,?,?,?,?,?,?,
Ontorongo, un-known, Family drama,?,?,?,?,?,?,?,?,
Peech Dhala Poth, un-known, Family drama,?,?,?,?,?,?,?,?,
Raj Mukut, un-known, Family drama,?,?,?,?,?,?,?,?,
Rong Bodlaay, un-known, Family drama,?,?,?,?,?,?,?,?,
Sadharon Meye, un-known, Family drama,?,?,?,?,?,?,?,?,
Somapti, un-known, Family drama,?,?,?,?,?,?,?,?,
Sontan, un-known, Family drama,?,?,?,?,?,?,?,?,
Surjo Uthar Age, un-known, Family drama,?,?,?,?,?,?,?,?,
SworoLipi, un-known, Family drama,?,?,?,?,?,?,?,?,
Taka Ana Pai, un-known, Family drama,?,?,?,?,?,?,?,?,
Taansen, un-known, Family drama,?,?,?,?,?,?,?,?,
Sher Puttar, 1971-01-01, Family drama,"Naghma, Sudhir, Mahpara, Iqbal Hassan, Munawar Zarif, Asad Bukhari, Sawan, Razia, Khalifa Nazir, Salma Mumtaz, Asha Poslay, Mehboob Kashmiri, Mustafa Tind, Niggo, Meena Chodhary",K. Khursheed,"M. Yousuf, Mumtaz Ali",Mushtaq Khokhar,M. Ashraf,"Khawaja Parvez, Waris Ludhyanvi","Noorjahan, Naseem Begum, Tasawur Khanum, Masood Rana",Rasheed Chodhary,
Garhasti, 1971-01-01, Family drama,"Sabiha, Santosh, Sangeeta, Jamaal, Lehri, Nasira",Nazar Shabab,Nazar Shabab,"Agha Jamsheri, Haroon Pasha",Tafoo,Hazin Siddiqi,"Noorjahan, Mala, Masood Rana",?,
Neend Hamari Khawab Tumharay, 1971-01-01, Romantic & musical film,"Deeba, Waheed Murad, Aliya, Nirala, Shahida, A. Shah, Zeenat, Qavi, Talish, M.D. Sheikh, Fazal Haq",K. Khursheed,"K. Khursheed, Sheikh Tasadduq Hussain",Basheer Niaz (basic story idea: Mistry Ghulam Mohammad),M. Ashraf,Kaleem Usmani,"Mala, Runa Laila, Mehdi Hassan, Masood Rana",Sarwar Gul,
Banda Bashar, 1971-01-08, Family drama,"Firdous, Ejaz, Iqbal Hassan, Sabiha Khanum, Allauddin, Rangeela, Saiqa, Fazal Haq, Niggo, Saqi, Zulfi",Fyaz Sheikh,Iqbal Shehzad,Fyaz Sheikh,Wajahat Attray,Khawaja Parvez,"Noorjahan, Masood Rana",Sadiq Moti,
Sucha Souda, 1971-01-15, Family drama,"Naghma, Rani, Inayat Hussain Bhatti, Kaifee, Munawar Zarif, Asad Bukhari, Razia, Seema, Salma Mumtaz, Sheikh Iqbal, Suhail, Niggo, Murid, Munir Zarif, Mustafa Tind",Kaifee,Ayub Nizami,Hazin Qadri,G.A. Chishti,Hazin Qadri,"Noorjahan, Inayat Hussain Bhatti",?,
Meharban, 1971-01-15, Family drama,"Shabana, Razzaq, Sultana, Anwara Jamal, Raju, Hazrika",Qazi Zaheer,Subhani,?,Basheer Ahmad,?,?,?,
Sehra, 1971-01-22, Family drama,"Naghma, Ejaz, Zeenat, Mazhar Shah, Asad Bukhari, Munawar Zarif, Ajmal, Gul Zaman, Niggo, Razia, Farukh Chodhary, Sabir Waseem",Jafar Malik,Sabir Waseem,?,Bakhshi Wazir,Manzoor Jhalla,"Noorjahan, Mehdi Hassan, Masood Rana",?,
Bhaian Baj Na Jorian, 1971-01-22, Family drama,"Saloni, Iqbal Hassan, Sultan Rahi",Niaz Ahmad,Aziz Mirza,?,Saleem Iqbal,?,Ahmad Rushdi,?,
Night Club, 1971-01-22, Family drama,"Shamim Ara, Kemal, Rangeela, Aliya, Zamarrud",Iqbal Yousuf,Ashiq Butt,?,Shamim Nazli,?,"Mala, Ahmad Rushdi",?,
Rim Jhim, 1971-01-22, Family drama,"Deeba, Waheed Murad, Rozina, Zamarrud, Kamal Irani, Azad, Meena Chodhary, Qazi Wajid, Zahoor Ahamd, Santush Russul, Mehmood ali",Qamar Zaidi,Khursheed Sajjad,Riaz Farshori,Nashad,"Shevan Rizvi, Qateel Shafai","Noorjahan, Mala, Ahmad Rushdi",Nazir Hussain,
Asghara, 1971-02-07, Family drama,"Naghma, Ejaz, Mahpara, Iqbal Hassan, Munawar Zarif, Sultan Rahi, Sawan, Tani, Seema, Nanha, Khalifa Nazir, Razia, Jaggi Malik, Changezi, Khayyam, Murid Ahmad, (guests: Rangeela, Mazhar Shah)",Khalifa Saeed Ahmad,"Khalifa Khursheed Ahmad, Khalifa Sarwar Saeed",Sikkedar,Tafoo,Khawaja Parvez,"Noorjahan, Naseem Begum",M. Siddiq,
Dunya Paisay di, 1971-02-07, Family drama,"Firdous, Habib, Naghma, Aliya, Iqbal Hassan, Munawar Zarif, Ilyas Kashmiri, Rukhsana, Nasira, Razia, Tani, Neelofar, M. Ismael, Asad Bukhari, Aslam Parvez",Fyaz Sheikh,Begam Ahad Malik,Fyaz Sheikh,Master Abdullah,"Tanvir Naqvi, Fyaz Sheikh","Noorjahan, Mehdi Hassan, Inayat Hussain Bhatti",Saleem Butt,
2 Baghi, 1971-02-07, Family drama,"Rani, Kemal, Habib, Lehri, Ilyas Kashmiri",M. Naseem,M. Naseem,?,Amjad Bobby,?,"Irene Parveen, Masood Rana, Fazal Hussain",?,
Dosti, 1971-02-07, Overseas made musical film,"Shabnam, Ejaz, Rehman, Husna, Rangeela, Saqi, Tani, Talish",Sharif Nayyar,Ejaz Durrani,Ali Sufyan Afaqi,A. Hameed,"Tanvir Naqvi, Qateel Shafai, Kalim Usmani","Noorjahan, Mala, Mujeeb Alam",M. Fazil,
Dunya Na Manay, 1971-02-07, Family drama,"Zeba, Mohammad Ali, Lehri, Sawran Lata, Ilyas Kashmiri, Saiqa, Zamarrud, Ragni",Luqman,Yasmin Shaukat,?,Nashad,?,"Mala, Mehdi Hassan, Ahmad Rushdi",?,
Jane Bond 008 Operation Karachi, 1971-02-07, Family drama,"Tarana, Raza Fazli, Saqi, Niggo, Kamal Irani, Rukhshanda, Sharafat, Pasha, Shaheen, Zahoor, Ansari",Raza Fazli,F. Abbasi,?,Lal Mohammad Iqbal,?,Ahmad Rushdi,Jamshed Alvandi,
Mera Dil Meri Aarzoo, 1971-02-07, Family drama,"Deeba, Yousuf Khan, Aliya, Rajni, M. Ismael",Raja Hafeez,Sardar Shamshad,?,M. Javed,?,"Runa Laila, Mehdi Hassan, Masood Rana",?,
Raja Rani, 1971-02-07, Family drama,"Saloni, Jamal, Aliya, Zahid Khan, Rangeela, Diljeet Mirza, Zeenat, Talish, Meena Shori, Salma Mumtaz, Nabeela, Niggo, Meenna Chodhary, Rafiq Tingu, Imdad Hussain, Mehboob Kashmiri (Guests: Asiya, Sultan Rahi, Munawar Zarif)",Diljeet Mirza,Diljeet Mirza,Agha Dilraj,Safdar Hussain,?,"Noorjahan, Naseem Begum, Irene Parveen, Runa Laila",Masoodur Rehman,
Mr. 303, 1971-02-19, Action film,"Rani, Nasrullah Butt, Tarana, Adeeb, Rangeela, Shakir",Aslam Dar,Aslam Daar and Qamar,?,Master Rafiq Ali,?,?,?,
Jor Jawana da, 1971-03-12, Family drama,"Firdous, Sudhir, Shirin, Razia, Nasira, Mazhar Shah",Rashid Akhtar,Habib Sharif,?,Tufail Farooqi,?,"Masood Rana, Sain Akhtar",?,
Afshan, 1971-03-12, Romantic & musical film,"Shabnam, Waheed Murad, Aliya, Lehri, Tariq Aziz, Saiqa, Nighat Sultana, Tamanna, Mohamad Yousuf, Latif Charlie, S.M. Saleem (Guest: Sangeeta)",Javed Hashmi,Mohammad Ali,Javed Hashmi (dialogues: Iqbal Rizvi),"Nashad, ass. Tasadduq Hussain",Taslim Fazli,"Noorjahan, Mala, Irene Parveen, Nighat Seema, Mehdi Hassan, Ahmad Rushdi",Nasir Hussain,
Baba Dina, 1971-03-19, Social film,"Firdous, Sudhir, Saloni, Inayat Hussain Bhatti, Ajmal, Sawan, Mazhar Shah, Nasira, Shahida, Ali Ejaz, Khalifa Nazir, Munir Zarif, Albela, Fazil Butt, Ajmal, Sultana Iqbal",Aslam Irani,Akbar Irani,Hazin Qadri,G.A. Chishti,Hazin Qadri,"Naseem Begum, Nazir Begum, Tasawur Khanum, Inayat Hussain Bhatti, Munir Hussain",Akbar Irani,
Hadbandi, 1971-03-26, Social film,"Saloni, Habib, Zeenat, Munawar Zarif, Ilyas Kashmiri, Asad Bukhari, Mazhar Shah, Razia, ChunChun, Seema, Naeem Hashmi, Gulrez, Taya Barkat, Mustafa Tind, Rasheed Zarif, Munir Zarif, Rafiq Tingu",Wazir Ali,"Zeenat, Zahoor",Iqbal Kashmiri,Tufail Farooqi,"Waris Ludhyanvi, Baba Alam Siaposh, Mushir Kazmi, Saeed Jafri","Noorjahan, Mala, Naseem Begum, Ireen Parveen, Shoukat Ali",M. Latif,
Yaaden, 1971-04-02, Family drama,"Zeba, Mohammad Ali, Asiya, Nazim, Qavi, Nanha, Rehan, Kemal Irani, Seema, Asha Poslay, Rizwan Wasti, Niggo,",Aziz Merthi,Agha Riaz Gul,Aziz Merathi,M. Ashraf,Taslim Fazli,"Noorjahan, Mala, Mehdi Hassan, Rajab Ali",Riaz Bukhari,
Teri Surat Meri Ankhen, 1971-04-09, Family drama,"Zeba, Mohammad Ali, Sabiha Khanum, Masood Akhtar, Rangeela, Jalil Afghani",S. Suleman,Irfan Malik,Agha Hassan Imtisal,Nashad,Taslim Fazli,"Mala, Irene Parveen, Robina Badar, Tasawur Khanum, Ahmad Rushdi",M. Shauki,
Ghunghroo, 1971-04-16, Family drama,"Sudhir, Saloni, Naheed, Farooq, Sultan Rahi, Nabeela, Rangeela, Jaggi Malik, Sultan Rahi, Rehan, Nazar, Fazal Haq, Sultana Iqbal, Niggo, Chakram, ChunChun, Shahida, Mazhar Shah (guest)",Imtiaz Qureshi,"Mian Sadiq, Mian Rafiq",Imtiaz Qureshi,"Inayat Hazravi, Bakhshi Wazir","Qateel Shafai, Manzoor Jhalla","Noorjahan, Naseem Begum, Nazir Begum, Irene Parveen, Tasawur Khanum, Sajida Ruhi",Arif Malik,
Insaf aur Qanoon, 1971-04-16, Family & musical film,"Zeba, Mohammad Ali, Sangeeta, Lehri, Aslam Parvez, Zarqa, Tani, Zeenat, Rizwan Wasti, Asha Poslay, Fakhra Sharif, Naina, Meena Chodhary, Rehan, S.M. Saleem, Rasheed Zarif",Shabab Keranvi,A. Hameed,Shabab Keranvi,M. Ashraf,"Tasleem Fazli, Shabab Keranvi","Noorjahan, Mala, Mehdi Hassan, Ahmad Rushdi",Riaz Bukhari,
Rabb Rakha, 1971-04-30, Family drama,"Rani, Yousuf Khan, Husna, Iqbal Hassan, Zeenat",K. Khursheed,C. A. Ghani,?,G.A. Chishti,?,?,?,
Parai Aag, 1971-05-07, Family drama,"Shamim Ara, Nadeem, Asiya, Zamarrud, Sofia Bano",Raza Mir,Saadia Hameed,Hameeda Jabeen,Khawaja Khursheed Anwar,Tanveer Naqvi,"Naseem Begum, Mehdi Hassan",?,
Darra Khayber, 1971-05-14, Family drama,"Surayya Khan, Asif Khan, Rabnawaz, Umar Daraz, Aman, Jabeena Khan, Ishrat Chodhary, Rehana",Mumtaz Ali Khan (ass. Inayat Ullah Khan),Habibullah,Habib Ullah (dialogues: Younis Qyasi),Rafiq Shinvari,"Younis Qyasi, Qasim Hasrat, Jahanzeb, Suhail","Gulnar Begum, Kishwar Sultan, Jabeena Khan, Khayal Mohammad",Ameer Ullah Khan,
Pyar day Pulekhay, 1971-05-14, Family drama,"Firdous, Kaifee, Saloni, Inayat Hussain Bhatti, Munawar Zarif, Asad Bukhari, Razia, Niggo, Nasira, M. Ismael, Munir Zarif, Fazal Haq, Imdad Hussain, Mustafa Tind",M. Akram,Syed Akhtar Jeelani,"Mistry Ghulam Mohammad (dialog, screenplayu: Hazin Qadri)",M. Ashraf,"Hazin Qadri, Waris Ludhyanvi, Ustad Daaman","Noorjahan, Naseem Begum, Tasawur Khanum, Inayat Hussain Bhatti",Amjad Bukhari (Akbar Irani),
Des Mera Jeedaran Da, 1971-05-21, Family drama,"Rani, Yousuf Khan, Aliya, Iqbal Hassan, Sultan Rahi, Mazhar Shah",Altaf Hussain,S.M. Siddique,?,Wajahat Attray,?,"Noorjahan, Mala, Masood Rana",?,
Gharnata, 1971-05-21, Political motivated film,"Rozina, Yousuf Khan, Jameel, Asiya, Iqbal Hassan, Adeeb, Aslam Parvez, Sabira Sultana, Tarana, Rehan, Saqi, Fomi, Sentosh Russal, ChhamChham, Niggo, Meena Chodhary, Changezi, M.D. Sheikh",Riaz Shahid,Malik Hussain Ahmad,"Naseem Hijazi (dialogues, screenplay: Riaz Shahid)",A. Hameed,Tanvir Naqvi,"Noorjahan, Mala, Naseem Begum, Tasawur Khanum, Munir Hussain, Mehdi Hassan, Mujeeb Alam",Babar Bilal,
Rootha Na Karo, 1971-05-28, Romantic film,"Shabnam, Kemal, Mahpara, Hanif, Nirala, Lehri, Talish, Saqi, Meena Chodhary",Munawar Rasheed,Hafiz Mohammad Ahmad,Dukhi Premnagri,Sohail Rana,Dukhi Premnagri,"Mala, Nighat Seema, Ahmad Rushdi",?,
Chanan Akhian Da, 1971-06-04, Family drama,"Firdous, Ejaz, Yousuf Khan, Zamurrad, Iqbal Hassan, Sultan Rahi, Ilyas Kashmiri, Nabeela, Rangeela, Ali Ejaz, Razia, ChunChun, Changezi",M.J. Rana (also: screenplay),M.J. Rana,Sheikh Iqbal (dialog: Imtiaz Quresh),G.A. Chishti,"Waris Ludhyanvi, Khawaja Parvez","Naseem Begum, Irene Parveen, Munir Hussain",Naseem Hussain,
Khamosh Nighahen, 1971-06-04, Overseas made romantic & musical film,"Rozina, Waheed Murad, Munawar Zareef, Husna, Zafar Masood, Abbas Nosha",Jameel Akhtar,Sheikh Abdur Rasheed,?,M. Ashraf,Khawaja Parvez,"Mala, Ahmad Rushdi","Nabi Ahmad, Babar Bilal",
Babul, 1971-06-18, Social & musical film,"Rani, Yousuf Khan, Aliya, Sultan Rahi, Nanha, Naeed Hashmi, Ilyas Kashmiri, Nabeela, Najmaul Hassan, Saqi, Mustafa Tind, Imdad Hussain, Master Adil",Iqbal Kashmiri,Raja Ghazanfar Ali (also story),Tanvir Kazmi (dialog and screenplay),Master Abdullah,"Tanvir Naqvi, Saleem Kashar","Noorjahan, Mala, Runa Laila, Masood Rana",Saleem Butt,
Ucha Naa Pyar da, 1971-06-18, Romantic film,"Rani, Ejaz, Zamarrud, Iqbal Hassan, Sahira, Munawar Zarif, Talish, Ragni, Ali Ejaz, Khalifa Nazir, Farhi, Albela, Munir Zarif, Saqi, Jaggi Malik, Taya Barkat, Mustafa Tind, Rafiq, Tingu, Jandra Pehlwan",M. Akram,Babar Bilal,Khawaja Mohammad Sadiq (dialogues also: Riaz Shahid),Tafoo,Khawaja Parvez,"Noorjahan, Mala, Irene Parveen, Tasawur Khanum, Rajab Ali",Saleem Butt,
Laila Majnu, 1971-06-18, Folk film,"Mahpara, Mushtaq, Aneela, A. R. Baloch",S.A. Ghaffar,Begum Mumtaz,?,Ghulam Ali,?,?,?,
Bahadur Khan, 1971-06-18, Family drama,"Rukhsana, Hamayun Qureshi, Nagina",B. R. Sayed,Chhata Khan,?,Kemal Ahmad,?,?,?,
Roop Behroop, 1971-06-18, Family drama,"Nisho, Kemal, Zamarrud, Mehmood, Baalam",Habib-ur-Rehman,Syed Iqbal,?,Lal Mohammad iqbal,?,Ahmad Rushdi,?,
Khazanchi, 1971-06-25, Family drama,"Naghma, Habib, Ghazala, Iqbal Hassan, Shirin, Sultan Rahi, Ilyas Kashmiri, Saiqa, Ali Ejaz, Khalifa Nazir, Changez, Sahra",A.K. Chodhary,"Azeem Butt, Yasin Butt",Zakki B.A.,Tafoo,?,Noorjahan,Naseeruddin,
Adam Khan aw Durkhanai, 1971-07-02, Family drama,"Yasmin Khan, Badar Munir, Naemat Sarhadi, Fazal Mehmood, Parveen Khan",Aziz Tabassum,"Syed Shakeel Akhtar, M. Ayub",Aziz Tabassum,Niaz Ahmad,Lajore Saleem,"Naseema Shaheen, Hadayat Ullah",M. Ayub,
Sakhi Lutera, 1971-07-02, Family drama,"Rani, Nasrullah Butt, Nimmo, Rangeela, Rehan, Adeeb, Sultan Rahi",Rafiq Ali,"Aslam Daar, Qamar Butt",?,Master Rafiq Ali,?,"Mala, Ahmad Rushdi",Saeed Daar,
Aasoo Billa, 1971-07-09, Family drama,"Naghma, Ejaz, Aliya, Asad Bukhari, Sultan Rahi, Seema, Jaggi Malik, Ilyas Kashmiri, Changezi, Tingu, (Guests: Munawar Zarif, Ajmal, Kemal Irani, Amin Malik, Arif (child))",Asad Bukhari (ass. Akram Khan),Asad Bukhari,Tanvir Kazmi (dialogs: Imtiaz Quresh),Nazir Ali,"Tanvir Naqvi, Hazin Qadri, Khawaja Parvez","Noorjahan, Mala, Tasawur Khanum, Rajab Ali, Riaz Malik",Iqbal Nimmi,
Mali, 1971-07-16, Family drama,"Naghma, Habib, Aliya, Munawar Zarif, Asad Bukhari, Sawan, Meena Shori, Khalifa Nazir, Ajmal",Waheed Dar,Qazi Jahangir Khan,Tanvir Kazmi,G.A. Chishti,"Tanvir Naqvi, Khawaja Parvez, Saifuddin Saif","Noorjahan, Mala, Naseem Begum",Sarwar Gul,
Uchi Haveli, 1971-07-23, Family drama,"Naghma, Habib, Naheed, Yousuf Khan, Munawar Zarif, Mazhar Shah, Razia, Zulfi, Munir Zarif, Tahira, Zahoor Shah",Maqsood Ayaz,M. Ashraf Chodhary,?,G.A. Chishti,Hazin Qadri,"Noorjahan, Masood Rana",?,
Wehshi, 1971-07-23, Social film,"Shamim Ara, Mohammad Ali, Rani, Kaifee, Aliya, Jameel, Munawar Zarif, Allauddin, Ilyas Kashmiri, Nasira, Imdad Hussain",Hassan Tariq (also screenplay),Ghulam Haidar Lone,Tanvir Kazmi (dialogues: Agha Hassan Imtisal),A. Hameed,"Saifuddin Saif, Qateel Shafai","Noorjahan, Mala, Irene Parveen, Tasawur Khanum, Masood Rana, Mujeeb Alam, Rajab Ali",Sarwar Gul,
Bazigar, 1971-07-30, Family drama,"Nisho, Ejaz, Iqbal Hassan, Sultan Rahi, Nabeela, Farzana, Allauddin, Ali Ejaz, Changezi",Sohail Ashraf,Iqbal Shehzad,? (dialouges: Anwar Siddiqi),Deebo,?,Runa Laila,Sadiq Moti,
Aansoo, 1971-07-30, Family drama,"Firdous, Deeba, Nadeem, Shahid, Mahpara, Zahid Khan, Masood Akhtar, Seema, Qavi, Nanha, Salma Mumtaz, Neena, Allauddin",S.A. Bukhari,Masood Khan,Riaz Arshad,Nazir Ali,"Khawaja Parvez, Tanvir Naqvi","Noorjahan, Mala, Naseem Begum, Tasawur Khanum, Mehdi Hassan, Masood Rana",Kamran Mirza,
Yaar Badshah, 1971-08-06, Social film,"Firdous, Sudhir, Mahpara, Afzal Khan, Masood Rana, Rangeela, Asad Bukhari, M. Ismael, Sheikh Iqbal, Meena Daud, Rekha, Ajmal, Badiuzzaman, Sikkedar, Ghayyur Akhtar",M. Saleem,S.M. Hassan,Tanvir Kazmi,Master Inayat Hussain,"Tanvir Naqvi, Basheer Munzar","Tasawur Khanum, Zahida Sultana, Inayat Hussain Bhatti & Masood Rana",Sadiq Moti,
Salam-e-Mohabbat, 1971-08-06, Romantic & musical film,"Zeba, Mohammad Ali, Santosh, Sangeeta, Masood Akhtar, Lehri, Qavi",S.T. Zaidi,G.A. Gul,?,"Khawaja Khursheed Anwar, Rasheed Attray",Qateel Shafai,"Noorjahan, Mehdi Hassan, Ahmad Rushdi",Waqar Bukhari,
Sajawal, 1971-08-20, Family drama,"Naghma, Sudhir, Aliya, Iqbal Hassan, Rangeela, Asad Bukhari, Seema, Razia, Changezi, Khayyam, Fazal Butt",Aizaz Syed,Shehzada Sultan Kishwar,Sikkedar,Tafoo,"Khawaja Parvez, Khadam Abbas, Iftikhar Shahid","Noorjahan, Naseem Begum, Irene Parveen",Idris Lodhi,
Jatt da Qoul, 1971-08-27, Family drama,"Naghma, Yousuf Khan, Zamurrad, Munawar Zarif, Sultan Rahi, Ilyas Kashmiri, Mazhar Shah, Nabeela, Talat Siddiqi, Sultana Iqbal, Razia, ChunChun, Ali Ejaz, Fazil Butt, Taya Barkat",Azmat Nawaz,Iqbal Malik,?,Bakhshi Wazir,Tanvir Naqvi,"Noorjahan, Masood Rana",Alam Chodhary,
Ik Sapera, 1971-08-27, Family drama,"Aliya, Iqbal Yousuf, Mahpara, Saqi, Nirala",Iqbal Yousuf,Iqbal Yousuf,Zakir Hussain,Nashad,Taslim Fazli,"Runa Laila, Ahmad Rushdi",Madat Ali,
Yaar Des Punjab day, 1971-09-02, Social film,"Nisho, Yousuf Khan, Aliya, Iqbal Hassan, Sabiha Khanum, Sultan Rahi, Ilyas Kashmiri, Asad Bukhari, Rangeela",Iqbal Kashmiri,Ali Abbas Syed,?,G.A. Chishti,Waris Ludhyanvi,"Noorjahan, Irene Parveen, Inayat Hussain Bhatti, Saleem Raza, Munir Hussain, Mehboob Sain",?,
Jaltay Suraj Kay Neechay, 1971-09-10, Family drama,"Rozina, Nadeem, Babeeta, Sabiha, Santosh",Noor ul Haq,Afzal Chodhary,?,Subal Das,?,"Mala, Ahmad Rushdi",?,
Ghairat Mera Naa, 1971-09-17, Action film,"Firdous, Sudhir, Yousuf Khan, Sultan Rahi, Nabeela, Rukhsana, Rangeela, Razia, Khalifa Nazir, Hamid, Rangoon Wala, Chohan, Taya Barkat, (Guest: Ilyas Kashmiri)",Iftikhar Khan,"Asghar, Sarwar Gul",Tanvir Kazmi (dialogues also: Hazin Qadri),Nazir Ali,"Hazin Qadri, Khawaja Parvez","Noorjahan, Mala, Tasawur Khanum",Sarwar Gul,
Charagh Kahan Roshni Kahan, 1971-09-17, Romantic & musical film,"Shabnam, Nadeem, Asiya, Sangeeta, Lehri, Qavi, Sabira Sultana, Nabeela, Tariq Aziz, Khalid Saeed Butt, Nasira, Jamil Bismil, ChunChun, Imdad Hussain, Jalil Afghani",K. Khursheed,"Nooruddin Kisat, K. Khursheed","Arsh Lakhnavi (screenplay, dialogues: Basheer Niaz)",M. Ashraf,Kaleem Usmani,"Mala, Masood Rana",M. Hussain,
Mastana Mahi, 1971-09-24, Romantic & musical film,"Naghma, Waheed Murad, Aliya, Munawar Zarif, Khalifa Nazir, Ajmal, Asad Bukhari, Razia, Asha Poslay, Rasheed Zarif, Imdad Hussain, Taya Barkat, Rangoon Wala",Iftikhar Khan (ass. Younis Malik),Waheed Murad,Hazin Qadri,Nazir Ali,Hazin Qadri,"Noorjahan, Mala, Mehdi Hassan, Ahmad Rushdi, Rajab Ali",Sarwar Gul,
Ajab Khan Afridae, 1971-10-01, Biographical film,"Yasmin Khan, Asif Khan, Sabira Sultana, Hamayun Qureshi, Saleem Nasir, Umar, Daraz",Rahim Gul,Qateel Shifai,"Rahim Gul, (screenplay: Ahmad Sharif)",Inayat Hazrawi,"Murad Shanwari, Sardsar Khan Fana, Younis Qyasi","Kishwar Sultan, Naheed Jafri, Mujeeb Alam",Ibrahim Bajwa,
Moosa Khan Gul Makei, 1971-10-01, Family drama,"Yasmin Khan, Asif Khan, Agha Karim",Rahim Gul,Rahim Gul,?,M. Javed,?,?,?,
Bhein Bhara, 1971-10-01, Family drama,"Naghma, Sudhir, Sabiha, Talish, Zeenat, Asad Bukhari, Mazhar Shah, Ali Ejaz, Razia, ChunChun, Abbas Nosha, ChhamChham",Rashid Akhtar,Rashid Akhtar,Zaheer Ahmad Naqsh,M. Javed,"Khawaja Parvez, Rasheed Akhtar","Noorjahan, Naseem Begum, Runa Laila, Mehdi Hassan",Nusrat Butt,
Ishq Bina Ki Jeena, 1971-10-01, Family drama,"Firdous, Sudhir, Rani, Ejaz, Munawar Zarif, Fazil Butt, Nabeela, Ilyas Kashmiri, Fazil Butt, Changezi, Naeem Hashmi, Seema, Shahida, Niggo, Taya Barkat, Akhtar Shad, Rafiq, Jindra Pehlwan, Tingu, Imdad Hussain, Banka, Murad",Iftikhar Khan,"Chodhary Abdul Qayyum, Chodhary Ghulam Mohammad",Hazin Qadri,Wajahat Attray,Hazin Qadri,"Noorjahan, Naseem Begum, Mala, Masood Rana, ?",Sarwar Gul,
Ishq Deevana, 1971-10-01, Family drama,"Firdous, Inayat Hussain Bhatti, Kaifee, Ghazala, Aliya, Munwar Zarif, Sultan Rahi, Asad Bukhari, Razia, Seema, Sheikh Iqbal, Nayyar Sultana, Shujaat Hussain Bhatti (Guest: Darpan)",S.A. Ashrafi,Waseem Abbas,Hafeez Ahmad,G.A. Chishti,"Hazin Qadri, Khawaja Parvez, Waris Ludhyanvi","Noorjahan, Mala, Runa Laial, Inayat Hussain Bhatti",Riaz Bukhari,
Aansoo Bahaye Pathron nay, 1971-10-01, Family drama,"Zeba, Mohammad Ali, Jamal, Tailsh, Rizwan Wasti, Veeda Khan, Ali Ejaz, Niggo, Meena Chodhary, Shakir, Asha Poslay, Seema, Shahida, Luddan, Rashad, Neena, Akhtar Shad (Guests: Aslam Parvez, Kemal Iranee, Farah Jalal)",Zafar Shabab,Zafar Shabab,"Hazin Siddiq (dialogues, screenplay: Shabab Keranvi)",M. Ashraf,"Taslim Fazli, Hazin Siddiq, Riazur Rehman Saghar, Tanvir Naqvi","Mala, Runa Laila, Ahmad Rushdi",Riaz Bukhari,
